#total reads: 2318
#use mean_cov to adjust the contig abundance, not median_cov 
#seqid	mean_cov	median_cov	total_pos	covered_pos	covered_ratio
metagenome_recA_contig_214_contig_215	5.075	5.000	928	928	1.000
metagenome_recA_contig_5960_contig_5961	2.329	2.000	535	535	1.000
metagenome_recA_contig_3146_contig_3147	1.895	2.000	544	544	1.000
metagenome_recA_contig_2872_contig_2873	1.905	1.000	682	682	1.000
metagenome_recA_contig_12202_contig_12203	3.017	3.000	574	574	1.000
metagenome_recA_contig_14588_contig_14589	1.452	1.000	529	529	1.000
metagenome_recA_contig_498_contig_499	1.948	2.000	658	658	1.000
metagenome_recA_contig_16984_contig_16985	1.547	1.000	472	472	1.000
metagenome_recA_contig_240_contig_241	2.204	2.000	943	943	1.000
metagenome_recA_contig_6662_contig_6663	1.020	1.000	409	409	1.000
metagenome_recA_contig_33590_contig_33591	1.253	1.000	916	916	1.000
metagenome_recA_contig_3120_contig_3121	25.445	26.000	901	901	1.000
metagenome_recA_contig_1994_contig_1995	2.362	2.500	658	658	1.000
metagenome_recA_contig_1156_contig_1157	13.953	12.000	928	928	1.000
metagenome_recA_contig_486_contig_487	5.374	6.000	979	979	1.000
metagenome_recA_contig_2980_contig_2981	3.181	3.000	877	877	1.000
metagenome_recA_contig_1814_contig_1815	6.263	6.000	898	898	1.000
metagenome_recA_contig_40488_contig_40489	25.675	22.000	937	937	1.000
metagenome_recA_contig_54_contig_55	2.800	2.000	889	889	1.000
metagenome_recA_contig_12038_contig_12039	2.709	3.000	556	556	1.000
metagenome_recA_contig_14618_contig_14619	1.603	1.500	490	490	1.000
metagenome_recA_contig_1326_contig_1327	1.561	1.000	487	487	1.000
metagenome_recA_contig_35422_contig_35423	3.480	4.000	946	946	1.000
metagenome_recA_contig_28506_contig_28507	19.422	17.333	937	937	1.000
metagenome_recA_contig_1122_contig_1123	8.048	9.000	928	928	1.000
metagenome_recA_contig_482_contig_483	2.834	3.000	625	625	1.000
metagenome_recA_contig_13430_contig_13431	7.408	7.000	574	574	1.000
metagenome_recA_contig_70_contig_71	8.053	8.000	931	931	1.000
metagenome_recA_contig_14726_contig_14727	1.826	2.000	505	505	1.000
metagenome_recA_contig_3010_contig_3011	2.892	3.000	619	619	1.000
metagenome_recA_contig_2176_contig_2177	10.967	11.000	952	952	1.000
metagenome_recA_contig_348_contig_349	5.558	5.000	772	772	1.000
metagenome_recA_contig_84_contig_85	4.576	5.000	922	922	1.000
metagenome_recA_contig_5220_contig_5221	2.000	2.000	538	538	1.000
metagenome_recA_contig_22882_contig_22883	1.986	2.000	424	424	1.000
metagenome_recA_contig_12432_contig_12433	2.121	2.000	547	547	1.000
